IP,Timestamp,Request,Status,Size
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.dll HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.lasso HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.rdf+destype=cache+desformat=PDF HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.xml HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.bak HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.py HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.tw HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.htw HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.pm HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.box HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.vts HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.iso-ru HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.js HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.class HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.notes HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.ncf HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.iso2022-jp HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.bat HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.lst HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.cfm HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.chl+ HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.SMAIL893 HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.js0x70 HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.ca HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.printer HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.jsa HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.txt HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.dbc HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.EXE HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.ASP HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.thtml HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.htaccess~ HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.types HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.eml HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.TXT HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.mdb HTTP/1.1,404,300
192.168.199.2,20/Jun/2021:12:36:24 +0300,GET /bwapp/4RaXX5Ac.JSP HTTP/1.1,404,300
